Atlanta Hawks, Conference, Division, Founded, History, Arena, Location, Team colors, Main sponsor, President, General manager, Head coach, Ownership, Affiliation(s), Championships, Conference titles, Division titles, Retired numbers, Website, Uniforms, 
, Eastern, Southeast, 1946, Buffalo Bisons 1946 Tri-Cities Blackhawks 1946–1951 Milwaukee Hawks 1951–1955 St. Louis Hawks 1955–1968 Atlanta Hawks 1968–present[1][2][3], Philips Arena, Atlanta. Georgia, Torch Red. Volt Green. Georgia Granite Gray[4][5]               , Sharecare[6], Vacant, Travis Schlenk, Vacant, Tony Ressler (principal owner), Erie BayHawks, 1 (1958), 4 Western: 4 (1957. 1958. 1960. 1961) Eastern: 0, 5 (1970. 1980. 1987. 1994. 2015), 6 (9. 21. 23. 44. 55. 59), www.nba.com/hawks, , 
, Eastern, Atlantic, 1946, Boston Celtics 1946–present[1][2], TD Garden, Boston. Massachusetts, Green. gold. black. brown. white[3][4][5]                         , General Electric[6], Rich Gotham, Danny Ainge, Brad Stevens, Boston Basketball Partners (Wyc Grousbeck. CEO and governor), Maine Red Claws, 17 (1957. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1968. 1969. 1974. 1976. 1981. 1984. 1986. 2008), 21 (1957. 1958. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1968. 1969. 1974. 1976. 1981. 1984. 1985. 1986. 1987. 2008. 2010), 22 (1972. 1973. 1974. 1975. 1976. 1980. 1981. 1982. 1984. 1985. 1986. 1987. 1988. 1991. 1992. 2005. 2008. 2009. 2010. 2011. 2012. 2017), 22 (00. 1. 2. 3. 6. 10. 14. 15. 16. 17. 18. 19. 21. 22. 23. 24. 25. 31. 32. 33. 34. 35. LOSCY), www.nba.com/celtics, , 
, Eastern, Atlantic, 1967, New Jersey Americans 1967–1968 (ABA) New York Nets 1968–1976 (ABA) 1976–1977 (NBA) New Jersey Nets 1977–2012 Brooklyn Nets 2012–present[1][2], Barclays Center, Brooklyn. New York, Black. white[3][4][5]          , Infor[6], Irina Pavlova, Sean Marks, Kenny Atkinson[7], Mikhail Prokhorov (51%)[8] Joseph Tsai (49%)[9], Long Island Nets, 2 ABA: 2 (1974. 1976), 2 (2002. 2003), 6 ABA: 2 (1974. 1975) NBA: 4 (2002. 2003. 2004. 2006), 6 (3. 5. 23. 25. 32. 52), www.nba.com/nets, , 
, Eastern, Southeast, 1988, Charlotte Hornets 1988–2002. 2014–present Charlotte Bobcats 2004–2014[1][2][3], Spectrum Center, Charlotte. North Carolina, Teal. dark purple. gray. white[4][5][6]                    , LendingTree[7], Mitch Kupchak, Mitch Kupchak, Vacant, Michael Jordan, Greensboro Swarm, 0, 0, 0, 1 (13), www.nba.com/hornets, , 
, Eastern, Central, 1966[1], Chicago Bulls 1966–present[2][3][4], United Center, Chicago. Illinois, Red. black[5][6]          , Michael Reinsdorf, Gar Forman, Fred Hoiberg, Jerry Reinsdorf, Windy City Bulls, 6 (1991. 1992. 1993. 1996. 1997. 1998), 6 (1991. 1992. 1993. 1996. 1997. 1998), 9 Midwest: 1 (1975) Central: 8 (1991. 1992. 1993. 1996. 1997. 1998. 2011. 2012), 4 (4. 10. 23. 33), www.nba.com/bulls, ,            Home           Away     , 
, Eastern, Central, 1970, Cleveland Cavaliers 1970–present[1][2], Quicken Loans Arena, Cleveland. Ohio, Wine. gold. navy blue. black[3][4]                    , Goodyear Tire and Rubber Company[5], Koby Altman, Tyronn Lue, Dan Gilbert (majority)[6] Gordon Gund. Usher Raymond (minority), Canton Charge, 1 (2016), 4 (2007. 2015. 2016. 2017), 7 (1976. 2009. 2010. 2015. 2016. 2017. 2018), 8 (7. 11. 22. 25. 34. 42. 43. Microphone), www.nba.com/cavaliers, ,            Home           Away     , 
, Western, Southwest, 1980, Dallas Mavericks 1980–present[1][2], American Airlines Center, Dallas. Texas, Royal blue. navy blue. silver. black[3][4]                    , 5Miles[5], Donnie Nelson, Rick Carlisle, Mark Cuban, Texas Legends, 1 (2011), 2 (2006. 2011), 3 (1987. 2007. 2010), 3 (12. 15. 22), www.mavs.com, ,            Home           Away           Third     , 
, Western, Northwest, 1967, Denver Rockets 1967–1974 (ABA) Denver Nuggets 1974–1976 (ABA) 1976–present (NBA)[1][2], Pepsi Center, Denver. Colorado, Navy blue. light blue. yellow gold[3][4]               , Western Union[5], Josh Kroenke, Artūras Karnišovas[6], Michael Malone, Ann Walton Kroenke[7], None, 0, 0, 10 ABA: 3 (1970. 1975. 1976) NBA: 7 (1977. 1978. 1985. 1988. 2006. 2009. 2010), 7 (2. 12. 33. 40. 44. 55. 432), www.nba.com/nuggets, , 
, Eastern, Central, 1941, Fort Wayne Zollner Pistons 1941–1948 Fort Wayne Pistons 1948–1957 Detroit Pistons 1957–present[1][2][3], Little Caesars Arena, Detroit. Michigan, Royal blue. red. chrome. navy blue. white[4][5]                         , Flagstar Bank[6], Stan Van Gundy, Jeff Bower, Stan Van Gundy, Tom Gores, Grand Rapids Drive, 3 (1989. 1990. 2004), 7 Western: 2 (1955. 1956) Eastern: 5 (1988. 1989. 1990. 2004. 2005), 9 (1988. 1989. 1990. 2002. 2003. 2005. 2006. 2007. 2008), 11 (1. 2. 3. 4. 10. 11. 15. 16. 21. 32. 40), www.nba.com/pistons, , 
, Western, Pacific, 1946, Philadelphia Warriors 1946–1962 San Francisco Warriors 1962–1971 Golden State Warriors 1971–present[1][2][3], Oracle Arena, Oakland. California, Royal blue. California golden yellow. slate[4][5]               , Rakuten[6], Rick Welts, Bob Myers, Steve Kerr, Joe Lacob (majority). Peter Guber, Santa Cruz Warriors, 5 (1947. 1956. 1975. 2015. 2017), 9 Eastern: 3 (1947. 1948. 1956)[a] Western: 6 (1964. 1967. 1975. 2015. 2016. 2017), 6 (1975. 1976. 2015. 2016. 2017. 2018), 6 (13. 14. 16. 17. 24. 42), www.nba.com/warriors, , 
, Western, Southwest, 1967, San Diego Rockets 1967–1971 Houston Rockets 1971–present[1][2][3], Toyota Center, Houston. Texas, Red. silver. black. white[4][5]                    , Daryl Morey, Mike D'Antoni, Tilman Fertitta[6], Rio Grande Valley Vipers, 2 (1994. 1995), 4 (1981. 1986. 1994. 1995), 6 (1977. 1986. 1993. 1994. 2015. 2018), 7 (11. 22. 23. 24. 34. 45. CD), www.nba.com/rockets, ,            Home           Away     ,         Home  , 
, Eastern, Central, 1967, Indiana Pacers 1967–present[1][2][3], Bankers Life Fieldhouse, Indianapolis. Indiana, Navy blue. gold. cool gray[4][5]               , Kevin Pritchard, Chad Buchanan, Nate McMillan, Herbert Simon, Fort Wayne Mad Ants, 3 ABA: 3 (1970. 1972. 1973) NBA: 0, 1 (2000), 9 ABA: 3 (1969. 1970. 1971) NBA: 6 (1995. 1999. 2000. 2004. 2013. 2014), 5 (30. 31. 34. 35. 529), www.nba.com/pacers, ,            Home           Away           Third     , 
, Western, Pacific, 1970, Buffalo Braves 1970–1978 San Diego Clippers 1978–1984 Los Angeles Clippers 1984–present[1][2], Staples Center, Los Angeles. California, Red. blue. black. silver. white[3][4]                         , Bumble[5], Gillian Zucker[6], Michael Winger[6], Doc Rivers, Steve Ballmer[7], Agua Caliente Clippers, 0, 0, 2 (2013. 2014), www.nba.com/clippers, ,            Home           Away           Third     , 
, Western, Pacific, 1947, Minneapolis Lakers 1947–1960 Los Angeles Lakers 1960–present[1][2][3][4], Staples Center, Los Angeles. California, Purple. gold. black. white[5][6][7]                    , Wish[8], Jeanie Buss, Rob Pelinka, Luke Walton, Buss Family Trusts (majority).[9] Philip Anschutz. Edward P. Roski. and Patrick Soon-Shiong (minority), South Bay Lakers, 16 (1949. 1950. 1952. 1953. 1954. 1972. 1980. 1982. 1985. 1987. 1988. 2000. 2001. 2002. 2009. 2010), 31 (1949. 1950. 1952. 1953. 1954. 1959. 1962. 1963. 1965. 1966. 1968. 1969. 1970. 1972. 1973. 1980. 1982. 1983. 1984. 1985. 1987. 1988. 1989. 1991. 2000. 2001. 2002. 2004. 2008. 2009. 2010), 23 (1971. 1972. 1973. 1974. 1977. 1980. 1982. 1983. 1984. 1985. 1986. 1987. 1988. 1989. 1990. 2000. 2001. 2004. 2008. 2009. 2010. 2011. 2012), 11 (8. 13. 22. 24. 25. 32. 33. 34. 42. 44. 52. MIC) Honored: (VM. GM. JP. SM. JK. CL), www.nba.com/lakers, , 
, Western, Southwest, 1995, Vancouver Grizzlies 1995–2001 Memphis Grizzlies 2001–present[1][2], FedExForum, Memphis. Tennessee, Memphis Midnight Blue. Beale Street Blue. Smoke Blue. Grizzlies Gold[3][4][5]                    , Chris Wallace, J. B. Bickerstaff, Memphis Basketball. LLC (Robert Pera. Chairman and Controlling Owner)[a], Memphis Hustle, 0, 0, 0, 0, www.nba.com/grizzlies/, ,            Home           Away     ,         Home  , 
, Eastern, Southeast, 1988, Miami Heat 1988–present[1][2], American Airlines Arena, Miami. Florida, Red. yellow. black[3][4]               , Ultimate Software[5], Pat Riley, Andy Elisburg[6], Erik Spoelstra, Micky Arison, Sioux Falls Skyforce, 3 (2006. 2012. 2013), 5 (2006. 2011. 2012. 2013. 2014), 13 (1997. 1998. 1999. 2000. 2005. 2006. 2007. 2011. 2012. 2013. 2014. 2016. 2018), 4 (10. 23. 32. 33), www.nba.com/heat, , 
, Eastern, Central, 1968 (1968)[1], Milwaukee Bucks 1968–present[2][3], Wisconsin Entertainment and Sports Center, Milwaukee. Wisconsin, Good Land Green. Cream City Cream. Great Lakes Blue. Black. White[4][5][6]                         , Harley-Davidson[7], Peter Feigin[8], Jon Horst, Joe Prunty (interim)[9], Wesley Edens. Marc Lasry. Jamie Dinan[10], Wisconsin Herd, 1 (1971), 2 (1971. 1974), 13 (1971. 1972. 1973. 1974. 1976. 1980. 1981. 1982. 1983. 1984. 1985. 1986. 2001), 8 (1. 2. 4. 10. 14. 16. 32. 33), www.nba.com/bucks, , 
, Western, Northwest, 1989, Minnesota Timberwolves 1989–present[1][2][3], Target Center, Minneapolis. Minnesota, Midnight Blue. Aurora Green. Lake Blue. Moonlight Grey. Frost White[4][5][6]                         , Fitbit[7], Ethan Casson, Scott Layden, Tom Thibodeau, Glen Taylor, Iowa Wolves, 0, 0, 1 (2004), 1 (2. FLIP), www.nba.com/timberwolves, , 
, Western, Southwest, 2002, New Orleans Hornets 2002–2005; 2007–2013 New Orleans/Oklahoma City Hornets 2005–2007 New Orleans Pelicans 2013–present[1][2][3], Smoothie King Center, New Orleans. Louisiana, Navy blue. gold. red[4][5][6]               , Zatarain's[7], Dennis Lauscha, Dell Demps, Alvin Gentry, Gayle Benson[8][9][10], None, 0, 0, 1 (2008), 1 (7), ,            Home           Away           Third     , 
, Eastern, Atlantic, 1946, New York Knicks 1946–present[1][2], Madison Square Garden, New York City. New York, Blue. orange. silver. black. white[3][4]                         , Squarespace[5], Steve Mills, Scott Perry, Vacant, Madison Square Garden Company (James L. Dolan. Executive Chairman), Westchester Knicks, 2 (1970. 1973), 8 (1951. 1952. 1953. 1970. 1972. 1973. 1994. 1999), 5 (1971. 1989. 1993. 1994. 2013), 9 (10. 12. 15. 15. 19. 22. 24. 33. 613), www.nba.com/knicks, , 
, Western, Northwest, 1967, Seattle SuperSonics 1967–2008 Oklahoma City Thunder 2008–present[1][2], Donovan Mitchell Arena, Oklahoma City. Oklahoma, Thunder Blue. Sunset. Yellow. Navy Blue[3][4]                    , Sam Presti, Billy Donovan, Professional Basketball Club LLC (Clay Bennett. Chairman)[5], Oklahoma City Blue, 1 (1979), 4 (1978. 1979. 1996. 2012), 11 (1979. 1994. 1996. 1997. 1998. 2005. 2011. 2012. 2013. 2014. 2016), 7 (1. 10. 19. 24. 32. 43. Microphone), www.nba.com/thunder, ,            Home           Away     ,         Home  , 
, Eastern, Southeast, 1989, Orlando Magic 1989–present[1][2], Amway Center, Orlando. Florida, Blue. black. silver[3][4]               , Walt Disney World[5], Alex Martins, Jeff Weltman[6], John Hammond[7], Vacant, RDV Sports. Inc. (Richard DeVos. CEO), Lakeland Magic, 0, 2 (1995. 2009), 5 (1995. 1996. 2008. 2009. 2010), 1 (6), www.nba.com/magic, 
, Eastern, Atlantic, 1946, Syracuse Nationals 1946–1963 Philadelphia 76ers 1963–present[1][2][3], Wells Fargo Center, Philadelphia. Pennsylvania, Blue. red. white[4][5]               , StubHub[6], Scott O'Neil, Bryan Colangelo, Bryan Colangelo, Brett Brown, Joshua Harris[7], Delaware Blue Coats, 3 (1955. 1967. 1983), 9 (1950. 1954. 1955. 1967. 1977. 1980. 1982. 1983. 2001), 5 (1977. 1978. 1983. 1990. 2001), 10 (3. 4. 6. 10. 13. 15. 24. 32. 34. Microphone), www.nba.com/sixers, 
, Western, Pacific, 1968, Phoenix Suns 1968–present[1][2], Talking Stick Resort Arena, Phoenix. Arizona, Purple. orange. black. gray. yellow[3][4]                         , Jason Rowley, Ryan McDonough[5], Igor Kokoškov, Robert Sarver[6], Northern Arizona Suns, 0, 2 (1976. 1993), 6 (1981. 1993. 1995. 2005. 2006. 2007), 11 (5. 6. 7. 9. 13. 24. 33. 34. 42. 44. 832), www.nba.com/suns, ,            Home           Away           Third     , 
, Western, Northwest, 1970, Portland Trail Blazers 1970–present[1][2][3], Moda Center, Portland. Oregon, Red. black. white[4][5][6]               , Chris McGowan, Neil Olshey[7], Terry Stotts, Paul Allen[8], None, 1 (1977), 3 (1977. 1990. 1992), 6 (1978. 1991. 1992. 1999. 2015. 2018), 12 (1. 13. 14. 15. 20. 22. 30. 30. 32. 36. 45. 77), www.nba.com/blazers, ,            Home           Away           Third     , 
, Western, Pacific, 1923, Rochester Seagrams 1923–1942 Rochester Eber Seagrams 1942–1943 Rochester Pros 1943–1945 Rochester Royals 1945–1957 Cincinnati Royals 1957–1972 Kansas City-Omaha Kings 1972–1975 Kansas City Kings 1975–1985 Sacramento Kings 1985–present[1][2][3], Golden 1 Center, Sacramento. California, Purple. slate gray. black[4][5]               , Blue Diamond Growers[6], Vlade Divac, Dave Joerger, Vivek Ranadivé[7], Stockton Kings, 1 (1951), 1 (1951), 3 (1979. 2002. 2003), 11 (1. 2. 4. 6. 11. 12. 14. 16. 21. 27. 44), www.nba.com/kings, ,            Home           Away           Third     , 
, Western, Southwest, 1967, Dallas Chaparrals 1967–1970. 1971–1973 (ABA) Texas Chaparrals 1970–1971 (ABA) San Antonio Spurs 1973–1976 (ABA) 1976–present (NBA)[1][2][3], AT&T Center, San Antonio. Texas, Silver. black[4][5]          , Gregg Popovich, R. C. Buford, Gregg Popovich, Spurs Sports & Entertainment (Julianna Hawn Holt. Chairman and CEO), Austin Spurs, 5 (1999. 2003. 2005. 2007. 2014), 6 (1999. 2003. 2005. 2007. 2013. 2014), 22 (1978. 1979. 1981. 1982. 1983. 1990. 1991. 1995. 1996. 1999. 2001. 2002. 2003. 2005. 2006. 2009. 2011. 2012. 2013. 2014. 2016. 2017), 8 (00. 6. 12. 13. 21. 32. 44. 50), www.nba.com/spurs, ,            Home           Away           Third     , 
, Eastern, Atlantic, 1995[1], Toronto Raptors 1995–present[2][3], Air Canada Centre, Toronto. Ontario, Red. black. silver. gold. white[4][5]                         , Sun Life Financial[6], Masai Ujiri, Bobby Webster, Dwane Casey, Maple Leaf Sports & Entertainment (MLSE)[7], Raptors 905, 0, 0, 5 (2007. 2014. 2015. 2016. 2018), www.nba.com/raptors, ,            Home           Away           Third     , 
, Western, Northwest, 1974, New Orleans Jazz 1974–1979 Utah Jazz 1979–present[1][2][3], Vivint Smart Home Arena, Salt Lake City. Utah, Navy. gold. green[4][5][6]               , Qualtrics[7], Steve Starks[8][9], Dennis Lindsey, Quin Snyder, Jazz Basketball Investors. Inc. (represented by Gail Miller. widow of Larry H. Miller), Salt Lake City Stars, 0, 2 (1997. 1998), 9 (1984. 1989. 1992. 1997. 1998. 2000. 2007. 2008. 2017), 11 (1. 4. 7. 9. 12. 14. 32. 35. 53. 1223. Microphone), www.nba.com/jazz, , 
, Eastern, Southeast, 1961, Chicago Packers 1961–1962 Chicago Zephyrs 1962–1963 Baltimore Bullets 1963–1973 Capital Bullets 1973–1974 Washington Bullets 1974–1997 Washington Wizards 1997–present[1][2][3], Capital One Arena, Washington. D.C., Red. navy blue. silver. white[4][5]                    , Ernie Grunfeld, Scott Brooks, Monumental Sports & Entertainment, Capital City Go-Go, 1 (1978), 4 (1971. 1975. 1978. 1979), 7 (1971. 1972. 1973. 1974. 1975. 1979. 2017), 5 (10. 11. 25. 41. 45), www.nba.com/wizards, ,            Home           Away           Third     ,         Home  , 
